文字	编码	拆分	分类	权重
過	EgOL	冎口辶	CJK	9746424
出	CU	屮凵	CJK	9999870
一	Hi	一	CJK	9999962
了	Le	了	CJK	10000000
大	Nr	大	CJK	9999938
中	OS	口丨	CJK	9999968
人	Rn	人	CJK	9999982
二	Ve	二	CJK	9999522
不	Ww	不	CJK	9999988
也	Ye	也	CJK	9999980
已	Zy	已	CJK	9999852
的	BaPkD	白勹丶	CJK	9999984
要	AxNv	覀女	CJK	9999942
是	BoL	日疋	CJK	9999998
在	FsTu	土	CJK	9999996
能	GsiDvUbiUbi	厶⺝匕	CJK	9999880
這	IiL	言辶	CJK	9760614
成	JpZ	戊	CJK	9999764
着	KyEmu	目	CJK	9999954
來	MuRnRn	木人人	CJK	9849468
我	PFsJge	丿扌	CJK	9999986
上	QbuHi	⺊一	CJK	9999972
次	SbEq	冫欠	CJK	9999188
地	TuYe	土也	CJK	9999946
和	UhO	禾口	CJK	9999994
爲	XzPZZZWu	爫丿ヿヿヿ灬	CJK	9927808
口	O.d	口	CJK	9999990
〇	O.l	口	符号和标点	9000981
說	IiVbORe	言八口儿	CJK	9439872
為	DPZZZWu	丶丿ヿヿヿ灬	CJK	9929768
羣	XjiPOKy	丿口羊	CJK	9910590
因	AkNr	囗大	CJK	9999582
困	AkMu	囗木	CJK	9989232
料	UiUdu	米斗	CJK	9993774
閑	AmMu	門木	CJK	9938538
牀	ApMu	爿木	CJK	9733710
右	FO	口	CJK	9998278
乍	QQ		CJK	9978426
乜	ZZ	乚	CJK	9896624
冇	FA	冂	CJK	9661674
弗	JgJ	弓	CJK	9982348
蒿	CIo	艹高	CJK	9980748
唬	OKhu	口虎	CJK	9981332
宕	ATo	宀石	CJK	9952494
芄	CPd	艹丸	CJK	9914488
芎	CJg	艹弓	CJK	9907532
芟	CJx	艹殳	CJK	9933230
癶	L.zd	癶	CJK	9328234
廴	L.z	廴	CJK	9891966
辶	L.d	辶	CJK	9862646
㐄	L.s	㐄	ExtA	9000005
夂	L.p	夂	CJK	9899452
辵	L.p	辶	CJK	9000528
疋	L.pi	疋	CJK	9903518
角	Ej.i	角	CJK	9995010
儿	Re.r	儿	CJK	9998998
皮	Ep.i	皮	CJK	9997624
瓦	Uw.a	瓦	CJK	9994638
攴	Xp.u	攵	CJK	9345158
禾	Uh.e	禾	CJK	9986672
麻	Ym.a	麻	CJK	9991062
乂	X.yi	乂	CJK	9820128
礻	Qs.i	示	CJK	9850652
气	Wq.i	气	CJK	9999176
丿	P.i.e	丿	CJK	9000735
毛	Em.a	毛	CJK	9997820
鬥	Ad.o	鬥	CJK	9304062
囟	Ex.in	囟	CJK	9917198
臼	Uj.iu	臼	CJK	9947094
耒	Ul.ei	耒	CJK	9862908
囗	Ak.v	囗	CJK	9361096
囪	Ac.v	囱	CJK	9949110
廾	Cg.v	廾	CJK	9813368
卵	El.v	卵	CJK	9989940
血	Ex.v	血	CJK	9997744
飞	Ef.v	飞	CJK	9998310
甴	Gy.v	由	CJK	9000001
匚	Hk.v	匚	CJK	9897502
弓	Jg.v	弓	CJK	9985758
黽	Km.v	黾	CJK	9000001
龍	Kl.v	龙	CJK	9000034
虫	Kc.v	虫	CJK	9994392
隹	Kz.v	隹	CJK	9893558
亍	Lci	彳	CJK	9949642
舟	Lz.v	舟	CJK	9985360
毌	Ng.v	毌	CJK	9712538
缶	Uf.v	缶	CJK	9920628
风	Wf.v	风	CJK	9998608
丰	Cf.v	丰	CJK	9982474
爪	Xz.v	爪	CJK	9988284
曰	Bo.v	曰	CJK	9998536
足	Lo.v	足	CJK	9998286
戊	Jp.v	戊	CJK	9945600
丸	Pd.v	丸	CJK	9983760
韭	Uh.v	韭	CJK	9900632
爿	Ap.v	爿	CJK	9940408
壬	Gr.v	壬	CJK	9948032
臣	Nc.v	臣	CJK	9996934
镸	Yc.v	镸	CJK	9000378
亥	Kh.v	亥	CJK	9951226
歹	Ed.v	歹	CJK	9925792
齊	Iq.v	齐	CJK	9000010
巾	Yj.v	巾	CJK	9979456
皿	Um.v	皿	CJK	9863106
髟	Eb.v	髟	CJK	9897722
糸	Ys.v	糸	CJK	9811454
舌	Eo.v	舌	CJK	9988226
廿	Ch.v	廿	CJK	9786508
殳	Jx.v	殳	CJK	9893986
羋	Ky.v	羊	CJK	9321978
鬯	Uu.vv	鬯	CJK	9857640
爻	Xx.vv	爻	CJK	9921156
	Xx.vv		私用区	1
⺽	Xx.vv	⺽	部首补充	9000001
𦥑	Xx.vv	⺽	ExtB	9000001
⽘	Xx.vv	爻	康熙部首	9000001
〷	XX.vv	乂乂	符号和标点	9000001
舛	Lv.v	舛	CJK	9925268
谷	Tv.v	谷	CJK	9994990
曱	Gs.v	甲	CJK	9000456
习	Ev.v	习	CJK	9987702
龠	Iv.vv	龠	CJK	9726908
衤	Yi.v	衤	CJK	9834110
穴	Av.v	穴	CJK	9994394
鬲	Uli.v	鬲	CJK	9898766
幺	Ya.ov	幺	CJK	9994682
冂	A	冂	CJK	9723368
宀	A	宀	CJK	9953792
冖	A	冖	CJK	9000001
	A	冂	私用区	1
	A	冂	私用区	1
𫡃	A	冂	ExtE	100
	A	冂	私用区	1
⺆	A	冂	部首补充	100
	A	冂	私用区	1
⼌	A	冂	康熙部首	100
⼍	A	冖	康熙部首	100
⼧	A	宀	康熙部首	100
ㄇ	A	冂	注音符号	100
窗	AvAc	穴囱	CJK	9990482
𠔽	AA	冂冂	ExtB	100
𠕄	AA	冂冂	ExtB	100
奰	AsAsAsNr	罒罒罒大	CJK	9000001
𨷾	AmAmAmAm	門門門門	ExtB	100
𢩕	AhuAhuAhu	戶戶戶	ExtB	100
𥥺	AvAhuAhu	戶戶	ExtB	100
𨷮	AmAmAm	門門門	ExtB	100
𥨲	AvApAsPkNv	爿罒勹女	ExtB	100
𦋹	AsAsAs	罒罒罒	ExtB	100
𥨎	AvAxBoCi	覀日十	ExtB	100
𥧍	AvApBoHi	穴爿日一	ExtB	100
㝱	AApCAsADxi	宀爿艹罒冖夕	ExtA	100
𡬌	AApCAsAEmu	宀爿卝罒冖目	ExtB	100
𡬒	AApCAsAEiMu	宀爿卝罒冖自木	ExtB	100
𡬙	AApCAsAGbJd	宀爿卝罒冖貝刂	ExtB	100
𡬑	AApCAsAHuO	宀爿卝罒冖五口	ExtB	100
𡫽	AApCAsANv	宀爿卝罒冖女	ExtB	100
𡬊	AApCAsAPNr	宀爿卝罒冖丿大	ExtB	100
𡬄	AApCAsASv	宀爿卝罒冖水	ExtB	100
𡬍	AApCAsAUi	宀爿卝罒冖米	ExtB	100
𡬇	AApCAsAWw	宀爿卝罒冖不	ExtB	100
𡬖	AApCAsAWuWu	宀爿卝罒冖火火	ExtB	100
𡬓	AApCAsAXjiAXy	宀爿卝罒冖冖又	ExtB	100
㝲	AApCAsAXjiAYj	宀爿卝罒冖彐冖巾	ExtA	100
𡫺	AApCAsAXy	宀爿卝罒冖又	ExtB	100
𪧵	AACMuMuNv	宀宀木木女	ExtC	100
䍛	AsAkCiO	罒囗十口	ExtA	100
𤗄	ApAc	片囱	ExtB	100
𤗍	ApADxiZi	片宀夕⺋	ExtB	100
寱	AApEiMu	宀爿自木	CJK	9354506
𨷚	AmAEsGb	門宀貝	ExtB	100
䆿	AvApEiMu	穴爿自木	ExtA	100
𤗇	ApAvFg	片工	ExtB	100
㸜	ApAvFg	爿穴工	ExtA	100
𨴵	AmAFGsi	門宀厶	ExtB	100
𧟮	AxAkF	覀囗	ExtB	100
𧶻	AhuAhuGb	戶戶貝	ExtB	100
𨞵	AhuAhuGbTe	戶戶貝阝	ExtB	100
寤	AApHuO	宀爿五口	CJK	9944032
寎	AApHiARn	宀爿一冂人	CJK	9601486
𥧃	AvApHiARn	穴爿一冂人	ExtB	100
𦋠	AsAHiBoHi	罒宀一日一	ExtB	100
𡫖	AAsHiBoYi	宀罒一日	ExtB	100
戼	AhuAhu	戶戶	CJK	9000001
𢨯	AhuAhu	戶戶	ExtB	100
𢨳	AhuAhu	户户	ExtB	100
𣶒	ApApHi	片爿一	ExtB	100
𪔥	ApApHiIzuXc	片爿一壴支	ExtB	100
𩰝	AdAHiLhGb	鬥宀一貝	ExtB	100
𦋳	AsAsHiLh	罒罒一止	ExtB	100
𨓯	ApApHiL	片爿一辶	ExtB	100
寰	AAsHiOYi	宀罒一口	CJK	9990750
𠖄	AAHiO	冖冂一口	ExtB	100
𨴏	AmAHiO	門冂一口	ExtB	100
𤖾	ApAHiO	片冂一口	ExtB	100
窹	AvApHuO	穴爿五口	CJK	9000004
䆚	AvAHiO	穴冂一口	ExtA	100
圜	AkAsHiOYi	囗罒一口	CJK	9954404
闤	AmAsHiOYi	門罒一口	CJK	9000007
阛	AmAsHiOYi	门罒一口	CJK	9405486
𢩠	AhuAsHiOYi	戶罒一口	ExtB	100
牖	ApAhuHp	片户甫	CJK	9884054
𡪗	AApHiRjO	宀爿一亼口	ExtB	100
𡫧	AApHiXjiAEmu	宀爿一彐冖目	ExtB	100
寣	AApIi	宀爿言	CJK	9794888
牑	ApAhuIce	片户	CJK	9000001
圐	AkAsIf	囗罒方	CJK	9000001
𤗐	ApAhuIf	片户方	ExtB	100
𥨉	AvApIi	穴爿言	ExtB	100
𡩩	AApIzO	宀爿亡口	ExtB	100
𩖈	AsAsJgNrEye	罒罒弓大頁	ExtB	100
𡚇	AsAsJgNr	罒罒弓大	ExtB	100
⿵	AAk	冂囗	文字序列	100
⿻	AkAk	囗囗	文字序列	100
𡩽	AApKlY	宀爿龙	ExtB	100
𢃹	AAvLYj	冂夂巾	ExtB	100
寐	AApMw	宀爿未	CJK	9938690
闁	AmAm	門門	CJK	9000001
閫	AmAkMu	門囗木	CJK	9976706
阃	AmAkMu	门囗木	CJK	9866774
𥧌	AvApMw	穴爿未	ExtB	100
闄	AmAxNv	門覀女	CJK	9985102
𤖡	ApANrVbBoWi	爿宀大丷日小	ExtB	100
𨴣	AmANv	門宀女	ExtB	100
扃	AhuAO	户冂口	CJK	9765832
𥩒	AvApOCAWuWu	爿口艹冖火火	ExtB	100
𨴀	AmAO	門冂口	ExtB	100
𫁋	AvAO	冂口	ExtC	100
	AAp	宀爿	私用区	1
𪧇	AAp	宀爿	ExtC	100
𨴥	AmAPHz	門宀丿七	ExtB	100
𨳭	AmAp	門	ExtB	100
	ApAp	爿片	私用区	1
	ApAp	片爿	私用区	1
㸞	ApAp	片片	ExtA	100
𤕰	ApAp	爿	ExtB	100
窻	AvAcQi	穴囱心	CJK	9325004
𥨷	AvApQbuEgO	爿⺊冎口	ExtB	100
牕	ApAcQi	片囱心	CJK	9000001
𪺠	ApAcQi	爿囱心	ExtC	100
𠖟	AAxQsJd	冖覀示刂	ExtB	100
𨷛	AmAQiPKc	門宀心丿虫	ExtB	100
𡨫	AAQs	宀宀示	ExtB	100
𡈜	AkAxQs	囗覀示	ExtB	100
𡬋	AApRAsATuO	宀爿⺈罒冖土口	ExtB	100
𨳻	AmARe	門宀儿	ExtB	100
𥤷	AvARe	冖儿	ExtB	100
𪭙	AhuARnO	户冂人口	ExtC	100
𥦻	AvARnPpYj	冂人几巾	ExtB	100
𨳙	AmARu	門冂入	ExtB	100
𨵷	AmAkRnUm	門囗人皿	兼容增补	100
𡪁	AApRjZO	宀爿亼乛口	ExtB	100
闉	AmAxTu	門覀土	CJK	9864732
䦡	AmATd	門宀㠯	ExtA	100
圛	AkAsTuKy	囗罒土	CJK	9000001
𡫈	AAxTuKq	宀覀土犬	ExtB	100
䦴	AmAsTuKy	門罒土	ExtA	100
𡇵	AkATo	囗宀石	ExtB	100
𨷤	AmAsTuOYi	門罒土口	ExtB	100
𥛛	AAxTuQs	冖西土示	ExtB	100
𡫚	AAxTuQs	宀覀土示	ExtB	100
𦊤	AsATs	罒冖山	ExtB	100
𨶵	AmAxTuTe	門覀土阝	ExtB	100
𡨾	AAxTu	宀覀土	ExtB	100
𡇽	AkAxTu	囗覀土	ExtB	100
𬮱	AmAxTu	门覀土	ExtE	100
𤎟	AAxTuWu	宀覀土火	ExtB	100
𨳷	AmAUbi	門宀匕	ExtB	100
㝥	AApUi	宀爿米	ExtA	100
𩜕	AhuAhuUs	戶戶	ExtB	100
𡫊	AAxUx	宀覀辛	ExtB	100
𥩂	AvAxUiXp	覀米攵	ExtB	100
𨵄	AmAVeRe	門宀二儿	ExtB	100
𨶍	AmAkWiBo	門囗⺌曰	ExtB	100
𪧏	AAkWu	宀囗火	ExtC	100
𡪶	AApWuWu	宀爿火火	ExtB	100
寢	AApXjiAXy	宀爿彐冖又	CJK	9000001
𡧳	AAx	宀西	ExtB	100
寝	AApXjiAXy	宀丬彐冖又	CJK	9972552
𡫔	AApXjiAEmu	宀爿冖目	ExtB	100
𥨊	AvApXjiAXy	爿冖又	ExtB	100
𡪷	AApXjiAYj	宀爿彐冖巾	ExtB	100
𡫒	AApXjiAYjXy	宀爿冖巾又	ExtB	100
𦌃	AsAkXCi	罒囗十	ExtB	100
𦋶	AsAkXHi	罒囗一	ExtB	100
𡪘	AApXm	宀爿釆	ExtB	100
𨳠	AmAX	門冂㐅	ExtB	100
閪	AmAx	門西	CJK	100
闙	AmAhuXpO	門户攵口	CJK	9000001
𦊔	AsAkXy	罒囗又	ExtB	100
𡩑	AAsYi	宀罒	ExtB	100
𡩲	AAsYi	宀罒衣	ExtB	100
䙶	AxAYi	西冖𧘇	ExtA	100
𦊳	AsAZsi	罒冖巳	ExtB	100
間	AmBo	門日	CJK	9797786
𣇱	ABoABo	冂日冂日	ExtB	100
𡩷	ABoANv	宀日宀女	ExtB	100
𨶁	AmBoANv	門日宀女	ExtB	100
𥧭	AvBoAsXy	曰罒又	ExtB	100
閶	AmBoBo	門日曰	CJK	9000008
䥌	ABoBoJr	宀日日金	ExtA	100
𦍄	AsBoBoKluGsiGsi	罒日日厶厶	ExtB	100
阊	AmBoBo	门日曰	CJK	9949944
覃	AxBoCi	覀日十	CJK	9879378
䚓	AxBoCiEr	覀日十見	ExtA	100
𥦍	AvBoCg	日廾	ExtB	100
𢍔	AvBoCg	㓁日廾	ExtB	100
𨴝	AmBoCi	門日十	ExtB	100
𫅃	AvBoCi	⺳日十	ExtC	100
鷣	AxBoCiKi	覀日十鳥	CJK	9000009
𫜃	AxBoCiKi	覀日十鸟	ExtC	100
𩀽	AxBoCiKz	覀日十隹	ExtB	100
𨝸	AxBoCiTe	覀日十阝	ExtB	100
𡨕	ABoCv	宀日	ExtB	100
𩙀	AxBoCiWf	覀日十風	ExtB	100
𤑶	AxBoCiWuWu	覀日十火火	ExtB	100
𨵛	AmBoDv	門日月	ExtB	100
闒	AmBoEv	門⺜羽	CJK	9000007
𨷄	AmBoElBo	門日耂日	ExtB	100
覸	AmBoEr	門日見	CJK	9000018
阘	AmBoEv	门⺜羽	CJK	9771568
𪧨	ABoEeXy	宀曰耳又	ExtC	100
𦋂	AsBoFc	罒日寸	ExtB	100
𡈁	AkBaGw	囗白王	ExtB	100
𦋸	AsBoHiBoZ	罒日一日乚	ExtB	100
𨵏	AmBoHiFc	門日一寸	ExtB	100
䦔	AmBoHi	門日一	ExtA	100
𦊥	AsBoHi	罒日一	ExtB	100
䆨	AvBoHiNr	穴日一大	ExtA	100
𤗱	ApBoHp	片日甫	ExtB	100
𨵶	AmBoHiPkY	門日一勹	ExtB	100
𡨗	ABaHz	宀白七	ExtB	100
冥	ABoIv	冖日六	CJK	9973350
覭	ABoIvEr	冖日六見	CJK	9000001
䫤	ABoIvEye	冖日六頁	ExtA	100
鼆	ABoIvKm	冖日六黽	CJK	9000001
𤣘	ABoIvKqElBo	冖日六犭耂日	ExtB	100
𧔲	ABoIvKcKc	冖日六虫虫	ExtB	100
䒌	ABoIvRKb	冖日六⺈巴	ExtA	100
鄍	ABoIvTe	冖日六阝	CJK	9000010
㝠	ABoIv	宀日六	ExtA	100
竅	AvBaIfXp	穴白方攵	CJK	9000037
閺	AmBoIx	門日文	CJK	9406932
覈	AxBaIfXp	覀白方攵	CJK	9000223
𡫀	ABaIfXp	宀白方攵	ExtB	100
𦋁	AsBoJg	罒日干	ExtB	100
鷼	AmBoKi	門日鳥	CJK	9000002
寔	ABoL	宀日疋	CJK	9934872
𤗘	ApBoL	片日疋	ExtB	100
𦋨	AsBoL	罒日疋	ExtB	100
𥦽	AvBoL	日疋	ExtB	100
𦋷	AsBoLeXp	罒日了攵	ExtB	100
𡫎	ABaMuXp	宀白木攵	ExtB	100
宴	ABoNv	宀日女	CJK	9985228
𡪻	ABoNvCiO	宀日女十口	ExtB	100
𠖇	ABoNr	冖日大	ExtB	100
𥦏	AvBoNr	日大	ExtB	100
𡩳	ABoNrTu	宀日大土	ExtB	100
幂	ABoNrYj	冖日大巾	CJK	9930256
间	AmBo	门日	CJK	9999420
𠕌	ABo	冂日	ExtB	100
𠕾	ABo	冖日	ExtB	100
𧟹	AxBoOCi	襾日口十	ExtB	100
𣅍	AkBo	囗日	ExtB	100
𡧼	AvBo	穴日	ExtB	100
𣆛	AxBo	覀日	ExtB	100
牌	ApBaPCi	片白丿十	CJK	9994566
𨵒	AmBoPCg	門日丿廾	ExtB	100
𡇼	AkBoPkRnZ	囗曰勹人㇗	ExtB	100
䦪	AmBoPkRnZ	門曰勹人㇗	ExtA	100
𢡕	ApBoPkYQi	片日勹心	ExtB	100
𩴦	AmBoQg	門日鬼	ExtB	100
𢝮	AsBoQi	罒日心	ExtB	100
𡈪	AkBoRYj	囗日⺈巾	ExtB	100
𣌩	ABoRnZ	冂日人㇗	ExtB	100
审	ABoS	宀日丨	CJK	9993728
𨴁	AmBoS	門日丨	ExtB	100
闎	AmBaSv	門白水	CJK	100
冟	ABaUbi	冖白匕	CJK	9000001
𠖆	ABoUbi	冖日匕	ExtB	100
𡧮	ABoUbi	宀日	ExtB	100
𡨇	ABaUbi	宀白	ExtB	100
𡇠	AkBaUbi	囗白	ExtB	100
䆞	AvBoUbi	穴日匕	ExtA	100
𥦒	AvBaUbi	穴白匕	ExtB	100
𨵷	AmBoUm	門日皿	ExtB	100
窤	AvBoUbiUbi	穴日匕	CJK	9000001
𪢬	AkBoUbiUbi	囗日匕	ExtC	100
𨶰	AmBv	門黃	ExtB	100
𤗶	ApBv	片黃	ExtB	100
𤖖	ApBv	爿黃	ExtB	100
𨶯	AmBw	門黑	ExtB	100
𥧤	AvBoWiNr	穴日小大	ExtB	100
𡨶	ABoWu	宀日火	ExtB	100
𪧖	ABaWu	宀白火	ExtC	100
𡈝	AkBaYjY	囗白巾彡	ExtB	100
𨴄	AmBoZ	門日乚	ExtB	100
𥥗	AvBoZ	日乚	ExtB	100
𥦦	AvBoZpXy	穴日又	ExtB	100
置	AsCiEmuHi	罒十目一	CJK	9998596
囱	Ac	囱	CJK	9854472
	Ac	囱	私用区	1
	Ac	囱	私用区	1
憲	ACAsQi	宀罒心	CJK	9752946
𤘂	ApCAsADxi	片艹罒冖夕	ExtB	100
𤘁	ApCAHiKsi	片艹冖一豕	ExtB	100
罱	AsCiAKy	罒十冂	CJK	9872860
𨵴	AmCiAKy	門十冂	ExtB	100
䦫	AmCANr	門艹冂大	ExtA	100
憲	ACfAsQi	宀丰罒心	兼容增补	100
𡩜	ACAs	宀罒	ExtB	100
𡈌	AkCAkVbA	囗艹囗八冂	ExtB	100
𡩡	ACiAYs	宀十冖糸	ExtB	100
寞	ACBoNr	宀艹日大	CJK	9794890
冪	ACBoNrYj	冖艹日大巾	CJK	9955212
𡫌	ACBoNrFi	宀⺿日大力	ExtB	100
𡈗	AkCBoNr	囗⺿日大	ExtB	100
𫔩	AmCBoNr	門艹日大	ExtC	100
羃	AsCBoNrYj	罒艹日大巾	CJK	9000005
賽	ACjCvGb	宀貝	CJK	9000003
𦞫	ACjCvDv	宀⺼	ExtB	100
𥈽	ACjCvEmu	宀目	ExtB	100
搴	ACjCvFs	宀手	CJK	9981408
𪧔	ACjCvFi	宀力	ExtC	100
赛	ACjCvGb	宀贝	CJK	9993842
𧶼	ACCvGb	宀艹貝	ExtB	100
𤗸	ApCiCGb	片十艹貝	ExtB	100
𨙇	ACjCvGbL	宀貝辶	ExtB	100
謇	ACjCvIi	宀言	CJK	9946502
𡫪	ACjCvIRnXp	宀亠亻攴	ExtB	100
弿	ACjCvJg	宀弓	CJK	9000001
騫	ACjCvKma	宀馬	CJK	9000002
䗙	ACjCvKc	宀虫	ExtA	100
鶱	ACjCvKi	宀鳥	CJK	9000001
𬸣	ACjCvKi	宀鸟	ExtE	100
骞	ACjCvKma	宀马	CJK	9983616
蹇	ACjCvLo	宀足	CJK	9990146
䞿	ACjCvLt	宀走	ExtA	100
寨	ACjCvMu	宀木	CJK	9995792
𤗣	ApCiChMu	片十廿木	ExtB	100
𤗥	ApCiCMu	片十艹木	ExtB	100
𠹟	ACjCvO	宀口	ExtB	100
𢞝	ACjCvQi	宀⺗	ExtB	100
㥶	ACjCvQi	宀心	ExtA	100
寒	ACjCvSb	宀゛	CJK	9991944
𡬜	ACjCvSbACjCvSbACjCvSb	宀゛宀゛宀゛	ExtB	100
𪧑	ACCvSb	宀艹゛	ExtC	100
𡫶	ACjCvSbGwCg	宀゛王廾	ExtB	100
𪧱	ACjCvSbTiO	宀゛士口	ExtC	100
𪧦	ACjCvSv	宀氺	ExtC	100
塞	ACjCvTu	宀土	CJK	9994092
𡺶	ACjCvTs	宀山	ExtB	100
塞	ACjCvTu	宀土	兼容文字	100
𦋦	AsCgCU	罒廾屮凵	ExtB	100
鬨	AdCCv	鬥艹	CJK	9000001
𡨄	ACjCv	宀	ExtB	100
𢩉	AhuCCv	户艹	ExtB	100
閧	AmCCv	門艹	CJK	9000011
𥥡	AvCCv	艹	ExtB	100
𡩱	ACjCvVeZ	宀二ㄅ	ExtB	100
褰	ACjCvYi	宀衣	CJK	9986392
𢄏	ACjCvYj	宀巾	ExtB	100
闀	AmCCvZsi	門艹巳	CJK	9981816
寋	ACjCvZi	宀⺋	CJK	9000001
𩰓	AdCCvZi	鬥艹⺋	ExtB	100
𤗽	ApCChZMu	片⺿廿㇗木	ExtB	100
圊	AkCDv	囗⺝	CJK	9360332
実	ACfD	宀㇏	CJK	9355088
䦮	AmCfDBo	門㇏日	ExtA	100
寈	ACDv	宀⺝	CJK	9754190
𨷧	AmCDvXzXv	門⺝爫	ExtB	100
寬	ACErD	宀艹見丶	CJK	9354508
𡈥	AkCElBo	囗⺿耂日	ExtB	100
闐	AmCiEmuCv	門十目	CJK	9000001
𠖩	ACiEmuCvEye	冖十目頁	ExtB	100
𡬅	ACiEmuCvEye	宀十目頁	ExtB	100
寘	ACiEmuCv	宀十目	CJK	9899382
𠖕	ACiEmuCv	冖十目	ExtB	100
𡈓	AkCiEmuCv	囗十目	ExtB	100
阗	AmCiEmuCv	门十目	CJK	9911136
窴	AvCiEmuCv	穴十目	CJK	9000114
𡪨	ACErGsi	宀艹見厶	ExtB	100
𫕾	AsCiEmuHiQv	罒十目一非	ExtC	100
𡩼	ACiEmuMu	宀十目木	ExtB	100
寛	ACEr	宀艹見	CJK	9000001
宽	ACEr	宀艹见	CJK	9998210
𡩖	ACiEr	宀十見	ExtB	100
𪢯	AkCEr	囗艹見	ExtC	100
𡪍	ACiEmuWu	宀十目灬	ExtB	100
𪺣	ApCfFc	片寸	ExtC	100
𡈉	AkCFO	囗⺿口	ExtB	100
𨵫	AmCFO	門⺿口	ExtB	100
𠂂	ACg	宀廾	ExtB	100
𡧅	ACg	宀廾	ExtB	100
𡩐	ACGa	宀田	ExtB	100
𤖓	ApCGb	爿貝	ExtB	100
𤗮	ApCGb	片貝	ExtB	100
𢍍	AcCg	囪廾	ExtB	100
𢍙	AcCg	囪廾	ExtB	100
𡩝	ACiGsiGsiXji	宀十厶厶彐	ExtB	100
𢨬	AhuCg	戶廾	ExtB	100
㘟	AkCg	囗廾	ExtA	100
𨷈	AmCGaLa	門艹田⽱	ExtB	100
	AsCg	罒廾	私用区	1
𥤬	AvCg	穴廾	ExtB	100
𥤰	AvCg	廾	ExtB	100
𧟤	AxCg	襾廾	ExtB	100
𧟥	AxCg	覀廾	ExtB	100
㝤	ACjHiATu	宀一冂土	ExtA	100
𥧒	AvCjHiATu	一冂土	ExtB	100
㝜	ACHiBo	宀艹一日	ExtA	100
𡪤	ACHiCF	宀艹一艹	ExtB	100
𨶱	AmCHiCF	門艹一艹	ExtB	100
𧠁	AxCHiCF	西艹一艹	ExtB	100
𤖐	ApCHiPPv	爿艹一丿	ExtB	100
㸢	ApCHiPPv	片艹一丿	ExtA	100
𦥁	AsCiHgTu	罒十土	ExtB	100
𡇾	AkCHiUbiO	囗艹一口	ExtB	100
𥩓	AvCHiUiQbuEgO	艹一米⺊冎口	ExtB	100
𢨦	AhuCi	戶十	ExtB	100
𦉴	AsCi	罒十	ExtB	100
𦉲	AvCi	⺳十	ExtB	100
穽	AvCj	穴井	CJK	9732284
宑	ACj	宀井	CJK	9823368
𨴒	AmCfJd	門丰刀	ExtB	100
囲	AkCj	囗井	CJK	9000001
𨳩	AmCj	門井	ExtB	100
窫	AvCfJdNr	穴丰刀大	CJK	9000004
㝣	ACfJdNr	宀丰刀大	ExtA	100
䦬	AmCfJdNr	門丰刀大	ExtA	100
𨷡	AmCiJgeUh	門十戈韭	ExtB	100
𥨆	AvCJdXp	穴龶刀攵	ExtB	100
𨷳	AmCKluHiZWu	門⺿一ㄅ灬	ExtB	100
𧒡	ACfKcKc	宀丰虫虫	ExtB	100
𨔍	AsCgL	罒廾辶	ExtB	100
𪧣	ACLSv	宀艹夂水	ExtC	100
𨔰	AxCgL	覀廾辶	ExtB	100
𨳹	AmC	門艹	ExtB	100
𨳡	AmC	門卝	ExtB	100
𨴔	AmC	門艸	ExtB	100
𡚎	AsCgNrHo	罒廾大可	ExtB	100
𠖉	AChNr	冖廿大	ExtB	100
𡨏	AChNr	宀廿大	ExtB	100
𡇦	AkCNv	囗女	ExtB	100
害	ACfO	宀丰口	CJK	9995206
	ACfO	宀丰口	私用区	1
	ACiO	冂十口	私用区	1
㝒	ACiO	宀十口	ExtA	100
𠕛	ACfO	⺆丰口	ExtB	100
𠱬	ACfO	⺆丰口	ExtB	100
𪞎	ACiO	⺆十口	ExtC	100
𡫲	ACfOALO	宀丰口宀夂口	ExtB	100
𣣶	ACfOEq	宀丰口欠	ExtB	100
𣎏	AkCiOFDv	囗十口⺝	ExtB	100
𠢆	ACfOFi	宀丰口力	ExtB	100
割	ACfOJd	宀丰口刂	CJK	9991238
割	ACfOJd	宀丰口刂	兼容增补	100
𡫴	ACfOJpHiO	宀丰口戊一口	ExtB	100
㲅	ACfOJx	宀丰口殳	ExtA	100
固	AkCiO	囗十口	CJK	9990838
鶷	ACfOKi	宀丰口鳥	CJK	9000002
𫔜	AmCiO	門十口	ExtC	100
㝬	ACfONf	宀丰口夫	ExtA	100
𦍀	AsChONfKz	罒廿口夫隹	ExtB	100
𤖲	ApCiO	片十口	ExtB	100
𢞩	ACfOQi	宀丰口心	ExtB	100
𡈅	AkCiORnJ	囗十口人	ExtB	100
罟	AsCiO	罒十口	CJK	9869024
豁	ACfOTv	宀丰口谷	CJK	9953208
𨝃	ACfOTe	宀丰口阝	ExtB	100
𦢽	ACfOTvErr	宀丰口谷肉	ExtB	100
𥥖	AvCiO	十口	ExtB	100
𦊙	AvCiO	⺳十口	ExtB	100
𡮞	ACfOWiP	宀丰口小丿	ExtB	100
𢻜	ACfOXc	宀丰口支	ExtB	100
㪡	ACfOXp	宀丰口攴	ExtA	100
𩏓	ACfOYw	宀丰口韋	ExtB	100
𦋪	AsCiPLhL	罒十丿止廴	ExtB	100
𤗩	ApCPkPv	片卝勹用	ExtB	100
𢠶	AmCQi	門⺿心	ExtB	100
𥧣	AvCRnMu	穴艹人木	ExtB	100
